ID,city,lat,lng,admin,capital
94,Esposende,41.536098,-8.782011,Braga,minor
95,Alcochete,38.755335,-8.960861,Setúbal,minor
96,Sever do Vouga,40.734588,-8.367219,Aveiro,minor
97,Sesimbra,38.444513,-9.101236,Setúbal,minor
98,São Pedro do Sul,40.75537,-8.072646,Viseu,minor
99,Lourinhã,39.233333,-9.316667,Lisboa,minor
100,Santa Comba Dão,40.398559,-8.131601,Viseu,minor
101,Entroncamento,39.466667,-8.466667,Santarém,minor
102,Armamar,41.107646,-7.691386,Viseu,minor
103,Arcos de Valdevez,41.848912,-8.410905,Viana do Castelo,minor
104,Paços de Ferreira,41.276571,-8.376174,Porto,minor
105,Fafe,41.454227,-8.167998,Braga,minor
106,Ponte de Sôr,39.249642,-8.010086,Portalegre,minor
107,Moimenta da Beira,40.983828,-7.617653,Viseu,minor
108,Santa Marta de Penaguião,41.211161,-7.800111,Vila Real,minor
109,Murça,41.405997,-7.454846,Vila Real,minor
110,Sernancelhe,40.898706,-7.493419,Viseu,minor
111,Vila Real,41.30062,-7.744129,Vila Real,admin
112,Vinhais,41.835094,-7.005007,Bragança,minor
113,Alcácer do Sal,38.373258,-8.514436,Setúbal,minor
114,Ourém,39.641675,-8.591899,Santarém,minor
115,Vila Nova de Gaia,41.133633,-8.617421,Porto,minor
116,Castelo de Vide,39.414713,-7.454021,Portalegre,minor
117,Vila Nova da Barquinha,39.45,-8.433333,Santarém,minor
118,Loulé,37.137722,-8.019684,Faro,minor
119,Lamego,41.097407,-7.809907,Viseu,minor
120,Alvaiázere,39.822559,-8.379994,Leiria,minor
121,Sátão,40.741775,-7.732855,Viseu,minor
122,Albergaria-a-Velha,40.693185,-8.479936,Aveiro,minor
123,Matosinhos,41.18207,-8.689076,Porto,minor
124,Alandroal,38.702005,-7.403094,Évora,minor
125,Proença-a-Nova,39.752204,-7.923903,Castelo Branco,minor
126,Lagoa,37.135349,-8.453188,Faro,minor
127,Montijo,38.706747,-8.973885,Setúbal,minor
128,Felgueiras,41.368058,-8.193961,Porto,minor
129,Nazaré,39.602891,-9.068355,Leiria,minor
130,Miranda do Corvo,40.09318,-8.332608,Coimbra,minor
131,Penedono,40.988749,-7.393859,Viseu,minor
132,Vale de Cambra,40.849701,-8.393892,Aveiro,minor
133,Vila Flor,41.309043,-7.153784,Bragança,minor
134,Figueiró dos Vinhos,39.904132,-8.275107,Leiria,minor
135,Santiago do Cacém,38.016935,-8.69475,Setúbal,minor
136,Trofa,41.322784,-8.572016,Porto,minor
137,Penafiel,41.208348,-8.282847,Porto,minor
138,Penacova,40.268837,-8.282374,Coimbra,minor
139,Pedrógão Grande,39.918345,-8.1459,Leiria,minor
140,Oleiros,39.918934,-7.913698,Castelo Branco,minor
141,Sousel,38.952894,-7.675286,Portalegre,minor
142,Arraiolos,38.723626,-7.984777,Évora,minor
143,Poiares,40.210256,-8.257464,Coimbra,minor
144,Famalicão,41.407967,-8.51978,Braga,minor
145,Vila Verde,41.647294,-8.43715,Braga,minor
146,Terras de Bouro,41.717691,-8.30888,Braga,minor
147,Manteigas,40.402799,-7.539769,Guarda,minor
148,Sintra,38.800971,-9.378257,Lisboa,minor
149,Vizela,41.390962,-8.263888,Braga,minor
150,Vila Velha de Ródão,39.666667,-7.7,Castelo Branco,minor
151,Benavente,38.979192,-8.807591,Santarém,minor
152,Maia,41.235739,-8.619897,Porto,minor
153,Santo Tirso,41.342567,-8.477456,Porto,minor
154,Oeiras,38.691049,-9.310847,Lisboa,minor
155,Celorico de Basto,41.387141,-8.00101,Braga,minor
156,Bombarral,39.267231,-9.157952,Leiria,minor
157,Barreiro,38.663137,-9.072395,Setúbal,minor
158,Belmonte,40.359303,-7.34869,Castelo Branco,minor
159,Montemor-o-Velho,40.172873,-8.686162,Coimbra,minor
160,Espinho,41.007628,-8.641251,Aveiro,minor
161,Oliveira do Hospital,40.361796,-7.86014,Coimbra,minor
162,Oliveira de Frades,40.733567,-8.174807,Viseu,minor
163,Oliveira de Azemeis,40.84101,-8.475554,Aveiro,minor
164,Oliveira do Bairro,40.514596,-8.493858,Aveiro,minor
165,Viana do Alentejo,38.33458,-8.004399,Évora,minor
166,Carrazeda de Anciães,41.242466,-7.307206,Bragança,minor
167,Ovar,40.861753,-8.626014,Aveiro,minor
168,Torres Novas,39.481143,-8.539493,Santarém,minor
169,Torres Vedras,39.091089,-9.258602,Lisboa,minor
170,Cartaxo,39.160221,-8.787408,Santarém,minor
171,Mangualde,40.604248,-7.76115,Viseu,minor
172,Vila Nova de Paiva,40.852907,-7.727911,Viseu,minor
173,Paredes,41.204853,-8.33147,Porto,minor
174,Vidigueira,38.209949,-7.800504,Beja,minor
175,Chamusca,39.35722,-8.48151,Santarém,minor
176,Trofa,41.487817,-7.961286,Braga,minor
177,Macedo de Cavaleiros,41.538161,-6.9611,Bragança,minor
178,Resende,41.105822,-7.966497,Viseu,minor
179,Póvoa de Lanhoso,41.577713,-8.268468,Braga,minor
180,Feira,40.925348,-8.542769,Aveiro,minor
181,Azambuja,39.07029,-8.86822,Lisboa,minor
182,Vieira do Minho,41.632923,-8.142521,Braga,minor
183,Batalha,39.660252,-8.824751,Leiria,minor
184,Alcanena,39.459005,-8.668924,Santarém,minor
185,Palmela,38.569021,-8.901255,Setúbal,minor
186,Ferreira do Zêzere,39.694064,-8.292131,Santarém,minor
187,Arouca,40.930568,-8.24488,Aveiro,minor
188,Vila de Rei,39.67604,-8.145768,Castelo Branco,minor
189,Tomar,39.601987,-8.409242,Santarém,minor
190,Tondela,40.516815,-8.080866,Viseu,minor
191,Constância,39.466667,-8.333333,Santarém,minor
192,Vila Pouca de Aguiar,41.500176,-7.64383,Vila Real,minor
193,Almada,38.679018,-9.156904,Setúbal,minor
194,Almeida,40.725672,-6.906137,Guarda,minor
195,Alvito,38.256109,-7.991584,Beja,minor
196,Soure,40.05989,-8.626053,Coimbra,minor
197,Alenquer,39.053151,-9.009282,Lisboa,minor
198,Mértola,37.643041,-7.661104,Beja,minor
199,Mesão Frio,41.163167,-7.873534,Vila Real,minor
200,Mourão,38.383562,-7.341888,Évora,minor
201,Valpaços,41.607461,-7.310876,Vila Real,minor
202,Pombal,39.916738,-8.628474,Leiria,minor
203,Mogadouro,41.340203,-6.711347,Bragança,minor
204,Póvoa de Varzim,41.38344,-8.763637,Porto,minor
205,Baião,41.162735,-8.034704,Porto,minor
206,Mortágua,40.396746,-8.232341,Viseu,minor
207,Tábua,40.362074,-8.02936,Coimbra,minor
208,Cascais,38.69745,-9.423141,Lisboa,minor
209,Barcelos,41.538763,-8.615053,Braga,minor
210,Boticas,41.689874,-7.665938,Vila Real,minor
211,Sabrosa,41.267017,-7.576007,Vila Real,minor
212,Montalegre,41.823569,-7.789714,Vila Real,minor
213,Gondomar,41.144536,-8.532229,Porto,minor
214,Freixo de Espada à Cinta,41.090327,-6.806478,Bragança,minor
215,Mora,38.943515,-8.164337,Évora,minor
216,Vendas Novas,38.677056,-8.457924,Évora,minor
217,Vila Nova de Foz Côa,41.083333,-7.2,Guarda,minor
218,Caldas da Rainha,39.403255,-9.138387,Leiria,minor
219,Marvão,39.393912,-7.376861,Portalegre,minor
220,Vimioso,41.584726,-6.52767,Bragança,minor
221,Odivelas,38.795234,-9.187387,Lisboa,minor
222,Odemira,37.598106,-8.638886,Beja,minor
223,Peniche,39.357486,-9.380439,Leiria,minor
224,Vagos,40.555998,-8.68175,Aveiro,minor
225,Marco de Canavezes,41.183887,-8.148641,Porto,minor
226,Coruche,38.959546,-8.525235,Santarém,minor
227,Coimbra,40.205642,-8.419551,Coimbra,admin
228,Barrancos,38.134462,-6.976042,Beja,minor
229,Montemor-o-Novo,38.648117,-8.214549,Évora,minor
230,Mêda,40.966352,-7.261634,Guarda,minor
231,Óbidos,39.360551,-9.156696,Leiria,minor
232,Góis,40.157353,-8.110067,Coimbra,minor
233,Reguengos de Monsaraz,38.425293,-7.534945,Évora,minor
234,Torre de Moncorvo,41.174537,-7.05364,Bragança,minor
235,Murtosa,40.736948,-8.637697,Aveiro,minor
236,Alcobaça,39.552233,-8.977495,Leiria,minor
237,Figueira da Foz,40.150852,-8.861786,Coimbra,minor
238,Figueira de Castelo Rodrigo,40.892619,-6.963502,Guarda,minor
239,Abrantes,39.466667,-8.2,Santarém,minor
240,Arruda dos Vinhos,38.984106,-9.077463,Lisboa,minor
241,Fundão,40.140247,-7.501348,Castelo Branco,minor
242,Tarouca,41.014444,-7.781432,Viseu,minor
243,Ílhavo,40.599896,-8.667325,Aveiro,minor
244,Alpiarça,39.257116,-8.581866,Santarém,minor
245,Albufeira,37.090205,-8.25079,Faro,minor
246,Penela,40.033333,-8.383333,Coimbra,minor
247,Valença,42.03104,-8.645953,Viana do Castelo,minor
248,Amares,41.630907,-8.351166,Braga,minor
249,São Brás de Alportel,37.1531,-7.887515,Faro,minor
250,Pampilhosa da Serra,40.046198,-7.951824,Coimbra,minor
251,Tavira,37.127338,-7.648609,Faro,minor
252,Nisa,39.514989,-7.649077,Portalegre,minor
253,Alter do Chão,39.198712,-7.658298,Portalegre,minor
254,Castro Verde,37.698282,-8.085812,Beja,minor
255,Mealhada,40.378063,-8.449912,Aveiro,minor
256,Cuba,38.165436,-7.892402,Beja,minor
257,Vouzela,40.723613,-8.112833,Viseu,minor
258,Vila Franca de Xira,38.955249,-8.98966,Lisboa,minor
259,Marinha Grande,39.747691,-8.932284,Leiria,minor
260,Cinfães,41.071969,-8.089991,Viseu,minor
261,Borba,38.80553,-7.45465,Évora,minor
262,Mira,40.428924,-8.737462,Coimbra,minor
263,Silves,37.189213,-8.438217,Faro,minor
264,Grândola,38.177181,-8.566746,Setúbal,minor
265,Campo Maior,39.017742,-7.064967,Portalegre,minor
266,Ferreira do Alentejo,38.05,-8.033333,Beja,minor
267,Miranda do Douro,41.496921,-6.273077,Bragança,minor
268,Mirandela,41.487385,-7.186949,Bragança,minor
269,Chaves,41.740186,-7.468789,Vila Real,minor
270,Sines,37.956215,-8.869788,Setúbal,minor
271,Mondim de Basto,41.411566,-7.954414,Vila Real,minor
272,Monção,42.078471,-8.481452,Viana do Castelo,minor
273,Castro Marim,37.220683,-7.4435,Faro,minor
274,Castro Daire,40.898399,-7.933805,Viseu,minor
275,Arganil,40.218261,-8.054029,Coimbra,minor
276,Olhão,37.0286,-7.841101,Faro,minor
277,Cadaval,39.242977,-9.103271,Lisboa,minor
278,Loures,38.829082,-9.168106,Lisboa,minor
279,Salvaterra de Magos,39.027881,-8.793502,Santarém,minor
280,Peso da Régua,41.164912,-7.787034,Vila Real,minor
281,Serpa,37.945811,-7.597537,Beja,minor
282,Sabugal,40.351267,-7.091036,Guarda,minor
283,Ansião,39.911774,-8.435683,Leiria,minor
284,Vila Real de Santo António,37.194999,-7.417658,Faro,minor
285,Porto de Mós,39.601911,-8.818389,Leiria,minor
